Name,lon,lat,Controlofinstitution,Website,Acceptance_Rate,State_name,Highest_degree_offered,,Total_Matriculates
California State University-Dominguez Hills,-118.259316,33.86524,Public,http://www.csudh.edu/,57,California,Master's degree,,1214
California State University-East Bay,-122.058073,37.65707,Public,http://www.csueastbay.edu/,69,California,Doctor's degree,,1572
California State University-Fresno,-119.748258,36.814477,Public,http://www.fresnostate.edu/,58,California,Doctor's degree,,3139
California State University-Fullerton,-117.885349,33.883627,Public,http://www.fullerton.edu/,46,California,Doctor's degree,,4526
California State University-Long Beach,-118.1123,33.782752,Public,https://www.csulb.edu/,31,California,Doctor's degree,,4276
California State University-Los Angeles,-118.168965,34.066927,Public,http://www.calstatela.edu/,68,California,Doctor's degree,,2908
California State University-Monterey Bay,-121.799216,36.653724,Public,https://csumb.edu/,44,California,Master's degree,,902
California State University-Northridge,-118.526817,34.23671,Public,http://www.csun.edu/,46,California,Doctor's degree,,4149
California State University-Sacramento,-121.42194,38.55745,Public,http://www.csus.edu/,70,California,Doctor's degree,,3151
California State University-San Bernardino,-117.322508,34.182987,Public,https://www.csusb.edu/,58,California,Doctor's degree,,2448
California State University-San Marcos,-117.158013,33.129115,Public,http://www.csusm.edu/,63,California,Master's degree,,1783
California State University-Stanislaus,-120.852511,37.52577,Public,https://www.csustan.edu/,72,California,Doctor's degree,,1109
California University of Pennsylvania,-79.884477,40.066473,Public,http://www.calu.edu/,93,Pennsylvania,Master's degree,,1154
Calumet College of Saint Joseph,-87.492987,41.670925,Private,http://www.ccsj.edu/,40,Indiana,Master's degree,,192
Calvin College,-85.587548,42.929916,Private,http://www.calvin.edu/,70,Michigan,Master's degree,,1006
Cambridge College,-71.11084,42.369193,Private,https://www.cambridgecollege.edu/,100,Massachusetts,Doctor's degree,,1914
Cameron University,-98.434163,34.606487,Public,https://www.cameron.edu/,100,Oklahoma,Master's degree,,2119
Campbell University,-78.739508,35.409333,Private,http://www.campbell.edu/,70,North Carolina,Doctor's degree,,788
Campbellsville University,-85.348943,37.343342,Private,http://www.campbellsville.edu/,68,Kentucky,Master's degree,,525
Canisius College,-78.851794,42.925319,Private,http://www.canisius.edu/,73,New York,Master's degree,,682
Capital University,-82.937867,39.954875,Private,http://www.capital.edu/,76,Ohio,Doctor's degree,,691
Cardinal Stritch University,-87.909045,43.139752,Private,http://www.stritch.edu/,84,Wisconsin,Doctor's degree,,202
Carleton College,-93.154662,44.462304,Private,https://www.carleton.edu/,21,Minnesota,Bachelor's degree,,527
Carlos Albizu University-Miami,-80.355002,25.795162,Private,http://www.albizu.edu/,36,Florida,Doctor's degree,,16
Carlow University,-79.963927,40.439851,Private,http://www.carlow.edu/,95,Pennsylvania,Doctor's degree,,206
Carnegie Mellon University,-79.942914,40.444616,Private,http://www.cmu.edu/,25,Pennsylvania,Doctor's degree,,1442
Carroll College,-112.04053,46.602202,Private,http://www.carroll.edu/,53,Montana,Bachelor's degree,,315
Carroll University,-88.227962,43.004647,Private,http://www.carrollu.edu/,81,Wisconsin,Doctor's degree,,700
Carson-Newman University,-83.492183,36.122224,Private,http://www.cn.edu/,67,Tennessee,Doctor's degree,,481
Carthage College,-87.820706,42.622893,Private,https://www.carthage.edu/,70,Wisconsin,Master's degree,,726
Case Western Reserve University,-81.605769,41.500812,Private,http://www.case.edu/,42,Ohio,Doctor's degree,,1252
Castleton State College,-73.181486,43.607982,Public,http://www.castleton.edu/,92,Vermont,Master's degree,,480
Catawba College,-80.486575,35.692445,Private,http://catawba.edu/,41,North Carolina,Master's degree,,342
Catholic University of America,-76.998961,38.935796,Private,http://www.cua.edu/,60,District of Columbia,Doctor's degree,,837
Cazenovia College,-75.854054,42.931946,Private,http://www.cazenovia.edu/,78,New York,Bachelor's degree,,345
Cedar Crest College,-75.519799,40.586695,Private,http://www.cedarcrest.edu/ca/index.shtm,59,Pennsylvania,Master's degree,,141
Cedarville University,-83.812098,39.750338,Private,http://www.cedarville.edu/,74,Ohio,Doctor's degree,,781
Centenary College,-74.832775,40.848693,Private,http://www.centenarycollege.edu/,91,New Jersey,Master's degree,,216
Centenary College of Louisiana,-93.731518,32.483004,Private,http://www.centenary.edu/,66,Louisiana,Master's degree,,128
Central Baptist College,-92.444102,35.084574,Private,http://www.cbc.edu/,54,Arkansas,Bachelor's degree,,129
Central Christian College of Kansas,-97.667373,38.357964,Private,http://www.centralchristian.edu/,50,Kansas,Bachelor's degree,,131
Central College,-92.918664,41.400236,Private,http://www.central.edu/,66,Iowa,Bachelor's degree,,309
Central Connecticut State University,-72.770094,41.690258,Public,http://www.ccsu.edu/,64,Connecticut,Doctor's degree,,1293
Central Methodist University-College of Liberal Arts and Sciences,-92.685276,39.150534,Private,http://www.centralmethodist.edu/,65,Missouri,Bachelor's degree,,291
